Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Deandre Coleman,DT,California,0,0,https://www.sports-reference.com/cfb/players/deandre-coleman-1.html,77,314,5.12,24.0,,,,,Pac-10,33,3,56,55,111,22.5,5.0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Kain Colter,WR,Northwestern,0,0,https://www.sports-reference.com/cfb/players/kain-colter-1.html,70,198,4.71,,,,,,Big Ten,39,4,,,,,,,,,,,,,,,,,,,,,63,683,10.8,4,449,2180,4.9,28,512,2863,5.6,32,,,,,,,,,,,,,,,,,,2014
Aaron Colvin,CB,Oklahoma,4,114,https://www.sports-reference.com/cfb/players/aaron-colvin-1.html,71,177,4.51,,,,,,Big 12,50,4,170,64,234,15.0,3.5,5,28,0,11,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Brandin Cooks,WR,Oregon State,1,20,https://www.sports-reference.com/cfb/players/brandin-cooks-1.html,70,189,4.33,16.0,36.0,120.0,6.76,3.81,Pac-12,38,3,,,,,,,,,,,,,,,,,,,,,226,3272,14.5,24,61,340,5.6,2,287,3612,12.6,26,,,,,,,,,,,,,,,,,,2014
Damian Copeland,WR,Louisville,0,0,https://www.sports-reference.com/cfb/players/damian-copeland-1.html,71,184,4.5,12.0,40.0,120.0,6.53,3.9,Big East,34,3,,,,,,,,,,,,,,,,,,,,,116,1521,13.1,7,4,24,6.0,0,120,1545,12.9,7,,,,,,,,,,,,,,,,,,2014
J.C. Copeland,FB,LSU,0,0,https://www.sports-reference.com/cfb/players/jc-copeland-1.html,71,271,4.95,23.0,28.5,111.0,7.68,4.58,SEC,35,3,,,,,,,,,,,,,,,,,,,,,7,85,12.1,0,36,92,2.6,7,43,177,4.1,7,,,,,,,,,,,,,,,,,,2014
Tim Cornett,RB,UNLV,0,0,https://www.sports-reference.com/cfb/players/tim-cornett-1.html,72,209,4.48,,34.5,125.0,7.01,4.26,MWC,50,4,,,,,,,,,,,,,,,,,,,,,67,424,6.3,2,769,3733,4.9,35,836,4157,5.0,37,,,,,,,,,,,,,,,,,,2014
Scott Crichton,DE,Oregon State,3,72,https://www.sports-reference.com/cfb/players/scott-crichton-1.html,75,273,4.84,24.0,31.5,108.0,7.19,4.29,Pac-12,25,2,100,65,165,51.0,23.5,0,0,0,9,2,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Chris Davis,CB,Auburn,0,0,https://www.sports-reference.com/cfb/players/chris-davis-6.html,70,202,4.54,15.0,,,,,SEC,32,3,119,73,192,4.0,0.0,0,0,0,24,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Mike Davis,WR,Texas,0,0,https://www.sports-reference.com/cfb/players/mike-davis-2.html,72,197,4.52,10.0,,,,,Big 12,49,4,,,,,,,,,,,,,,,,,,,,,200,2753,13.8,18,3,-6,-2.0,0,203,2747,13.5,18,,,,,,,,,,,,,,,,,,2014
